,sentence,rhetoric
Two wrongs don't make a right.,Aphorism,Aphorism
"Where there's smoke, there's fire.",Aphorism,Aphorism
Love conquers all.,Aphorism,Aphorism
"Out of sight, out of mind.",Aphorism,Aphorism
There's no place like home.,Aphorism,Aphorism
The only constant in life is change.,Aphorism,Aphorism
"Curiosity killed the cat, but satisfaction brought it back.",Aphorism,Aphorism
There's no such thing as a free lunch.,Aphorism,Aphorism
"The harder you work, the luckier you get.",Aphorism,Aphorism
Don't put all your eggs in one basket.,Aphorism,Aphorism
A journey of a thousand miles begins with a single step.,Aphorism,Aphorism
Beauty is in the eye of the beholder.,Aphorism,Aphorism
The journey of a thousand miles begins with a single step.,Aphorism,Aphorism
Money cannot buy happiness.,Aphorism,Aphorism
"It's not the destination, it's the journey.",Aphorism,Aphorism
Never put off until tomorrow what you can do today.,Aphorism,Aphorism
You can't please everyone.,Aphorism,Aphorism
The apple doesn't fall far from the tree.,Aphorism,Aphorism
Experience is the teacher of all things.,Aphorism,Aphorism
Money can't buy happiness.,Aphorism,Aphorism
"It's not the size of the dog in the fight, it's the size of the fight in the dog.",Aphorism,Aphorism
"Before you criticize someone, walk a mile in their shoes.",Aphorism,Aphorism
Do unto others as you would have them do unto you.,Aphorism,Aphorism
"Life is like a camera, focus on what's important and you'll capture it perfectly.",Aphorism,Aphorism
Not all who wander are lost.,Aphorism,Aphorism
A picture is worth a thousand words.,Aphorism,Aphorism
"If you fail to plan, you plan to fail.",Aphorism,Aphorism
Injustice anywhere is a threat to justice everywhere.,Aphorism,Aphorism
Love is the answer to all of life's questions.,Aphorism,Aphorism
"Happiness is a state of mind, not a destination.",Aphorism,Aphorism
Life is 10% what happens to us and 90% how we react to it.,Aphorism,Aphorism
Speak softly and carry a big stick.,Aphorism,Aphorism
"The earlier you start, the higher you will rise.",Aphorism,Aphorism
"Live, laugh, love.",Aphorism,Aphorism
A bird in the hand is worth two in the bush.,Aphorism,Aphorism
The end justifies the means.,Aphorism,Aphorism
"Early to bed and early to rise, makes a man healthy, wealthy, and wise.",Aphorism,Aphorism
The only way to do great work is to love what you do.,Aphorism,Aphorism
There is no such thing as a free lunch.,Aphorism,Aphorism
Forgive and forget.,Aphorism,Aphorism
History repeats itself.,Aphorism,Aphorism
The only thing we have to fear is fear itself.,Aphorism,Aphorism
"A wise man once said, 'The only true wisdom is knowing that you know nothing.'",Aphorism,Aphorism
"Money can't buy happiness, but it can sure rent it.",Aphorism,Aphorism
"Life is like a box of chocolates, you never know what you're gonna get.",Aphorism,Aphorism
"The bigger they are, the harder they fall.",Aphorism,Aphorism
You can't teach an old dog new tricks.,Aphorism,Aphorism
Look before you leap.,Aphorism,Aphorism
The road to hell is paved with good intentions.,Aphorism,Aphorism
You never know what you have until it's gone.,Aphorism,Aphorism
A rose by any other name would smell as sweet.,Aphorism,Aphorism
"Live in the present, not the past.",Aphorism,Aphorism
The only constant is change.,Aphorism,Aphorism
Live and learn.,Aphorism,Aphorism
"If at first, you don't succeed, try, try again.",Aphorism,Aphorism
Prevention is better than cure.,Aphorism,Aphorism
