,sentence,rhetoric
"Forgiveness is the attribute of the strong, revenge is the refuge of the weak.",Antithesis,Antithesis
"We must all learn to live together as brothers, or we will all perish together as fools.",Antithesis,Antithesis
"Life is a journey, not a destination.",Antithesis,Antithesis
"The greatest enemy of knowledge is not ignorance, it is the illusion of knowledge.",Antithesis,Antithesis
"Love is an irresistible force, but also an immovable object.",Antithesis,Antithesis
"Success is not final, failure is not fatal: It is the courage to continue that counts.",Antithesis,Antithesis
"Money can buy you a fine dog, but only love can make it wag its tail.",Antithesis,Antithesis
The first rule of Fight Club is: You do not talk about Fight Club.,Antithesis,Antithesis
I can resist anything except temptation.,Antithesis,Antithesis
"Love looks not with the eyes, but with the mind."" - William Shakespeare",Antithesis,Antithesis
"Speech is silver, but silence is golden.",Antithesis,Antithesis
"He is no fool who gives what he cannot keep to gain what he cannot lose."" - Jim Elliot",Antithesis,Antithesis
"I can resist anything except temptation."" - Oscar Wilde",Antithesis,Antithesis
"Man proposes, God disposes."" - Thomas A Kempis",Antithesis,Antithesis
"Life is a comedy to those who think, a tragedy to those who feel."" - Horace Walpole",Antithesis,Antithesis
"We must all learn to live together as equals or die together as fools."" - Nelson Mandela",Antithesis,Antithesis
"Too black for heaven, and yet too white for hell."" - Malcolm X",Antithesis,Antithesis
"Love is an irresistible force, and hate is an immovable object.",Antithesis,Antithesis
"Not everything that is faced can be changed, but nothing can be changed until it is faced.",Antithesis,Antithesis
"Love is an art, while hate is a weapon.",Antithesis,Antithesis
"Opposites attract, but similarities ignite.",Antithesis,Antithesis
Darkness cannot drive out darkness; only light can do that.,Antithesis,Antithesis
You have to lose yourself to find yourself.,Antithesis,Antithesis
Grace is the antithesis of anger.,Antithesis,Antithesis
"Youth is not a time of life, it is a state of mind.",Antithesis,Antithesis
The silence was deafening.,Antithesis,Antithesis
"Life is short, but it's long enough to ruin any man who wants to be ruined.",Antithesis,Antithesis
"Every man has to decide whether he will walk in the light of creative altruism or in the darkness of destructive selfishness."" - Martin Luther King Jr.",Antithesis,Antithesis
"The world will little note, nor long remember what we say here, but it can never forget what they did here."" - Abraham Lincoln",Antithesis,Antithesis
"Man proposes, God disposes."" - Thomas á Kempis",Antithesis,Antithesis
"To be or not to be, that is the question."" - William Shakespeare",Antithesis,Antithesis
"Patience is bitter, but its fruit is sweet."" - Aristotle",Antithesis,Antithesis
"Friends, Romans, countrymen, lend me your ears."" - William Shakespeare",Antithesis,Antithesis
"That's one small step for man, one giant leap for mankind."" - Neil Armstrong",Antithesis,Antithesis
"Speech is silver, but silence is golden."" - English Proverb",Antithesis,Antithesis
"Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that."" - Martin Luther King Jr.",Antithesis,Antithesis
"Every sweet has its sour; every evil its good."" - Ralph Waldo Emerson",Antithesis,Antithesis
"In a society that values conformity, I will be the voice of rebellion.",Antithesis,Antithesis
"Love is an ideal thing, marriage is a real thing.",Antithesis,Antithesis
"Life is a comedy to those who think, a tragedy to those who feel."" - Jean de la Bruyere",Antithesis,Antithesis
You have to be cruel to be kind.,Antithesis,Antithesis
"The wise man speaks because he has something to say, the fool speaks because he has to say something."" - Plato",Antithesis,Antithesis
Love is an irresistible desire to be irresistibly desired.,Antithesis,Antithesis
"Give every man thy ear, but few thy voice.",Antithesis,Antithesis
It is not the years in your life but the life in your years.,Antithesis,Antithesis
We must all learn to live together as brothers or we will all perish together as fools.,Antithesis,Antithesis
You have to spend money to make money.,Antithesis,Antithesis
"Yesterday's laughter is today's sorrow, and today's laughter is tomorrow's sorrow.",Antithesis,Antithesis
"We are caught in an inescapable network of mutuality, tied in a single garment of destiny. Whatever affects one directly, affects all indirectly.",Antithesis,Antithesis
"I am easy to please, but hard to impress.",Antithesis,Antithesis
"The world is mine, yet I am but a speck in it.",Antithesis,Antithesis
Her beauty was both a blessing and a curse.,Antithesis,Antithesis
We must sometimes fail in order to succeed.,Antithesis,Antithesis
"Life is a journey, but death is a destination.",Antithesis,Antithesis
"His words were sharp, but his heart was kind.",Antithesis,Antithesis
We have to lose in order to gain.,Antithesis,Antithesis
"Happiness is fleeting, but sorrow is ever-present.",Antithesis,Antithesis
"It takes two to tango, but only one to stumble."" - Unknown",Antithesis,Antithesis
"We are all in the gutter, but some of us are looking at the stars."" - Oscar Wilde",Antithesis,Antithesis
"Freedom is not the absence of commitments, but the ability to choose - and commit myself to - what is best for me."" - Paulo Coelho",Antithesis,Antithesis
"Speech is silver, but silence is golden."" - Thomas Carlyle",Antithesis,Antithesis
"The most disorganized person I know has the cleanest desk."" - Unknown",Antithesis,Antithesis
"Live for yourself and you will live in vain; Live for others, and you will live again."" - Bob Marley",Antithesis,Antithesis
"Faith is taking the first step, even when you don't see the whole staircase."" - Martin Luther King Jr.",Antithesis,Antithesis
"The brave may not live forever, but the cautious do not live at all."" - Meg Cabot",Antithesis,Antithesis
"If you want peace, you don't talk to your friends. You talk to your enemies."" - Desmond Tutu",Antithesis,Antithesis
"Happiness is not the absence of problems, it's the ability to deal with them."" - Steve Maraboli",Antithesis,Antithesis
"Success is not final, failure is not fatal: It is the courage to continue that counts."" - Winston Churchill",Antithesis,Antithesis
"The world is a tragedy to those who feel, but a comedy to those who think."" - Horace Walpole",Antithesis,Antithesis
"Too much sanity may be madness and the maddest of all, to see life as it is and not as it should be."" - Miguel de Cervantes",Antithesis,Antithesis
"Money is the root of all evil, but poverty is the fruit of all good."" - Unknown",Antithesis,Antithesis
"Money is the root of all evil: poverty is the fruit of all goodness."" - Zelda Byron",Antithesis,Antithesis
"I have a dream that my four little children will one day live in a nation where they will not be judged by the color of their skin but by the content of their character."" - Martin Luther King Jr.",Antithesis,Antithesis
"Speech is silver, but silence is gold."" - Thomas Carlyle",Antithesis,Antithesis
"The good times didn't last forever, but neither did the bad."" - Unknown",Antithesis,Antithesis
"Deep into that darkness peering, long I stood there wondering, fearing."" - Edgar Allan Poe",Antithesis,Antithesis
"It is the struggle itself that is most important. We must strive to be more than we are. It does not matter that we do not reach our ultimate goal."" - Gene Roddenberry",Antithesis,Antithesis
"Opposites attract, but like minds connect.",Antithesis,Antithesis
"Love is an irresistible force, but hate is an immovable object.",Antithesis,Antithesis
"We must all learn to live together as brothers, or we will all perish together as fools."" -Martin Luther King Jr.",Antithesis,Antithesis
"War may sometimes be a necessary evil, but no matter how necessary, it is always an evil."" -Jimmy Carter",Antithesis,Antithesis
"Efficiency is doing things right; effectiveness is doing the right things."" -Peter Drucker",Antithesis,Antithesis
"It was the best of times, it was the worst of times."" -Charles Dickens",Antithesis,Antithesis
"Our lives begin to end the day we become silent about things that matter and our lives end the day we become silent about things that matter."" -Martin Luther King Jr.",Antithesis,Antithesis
Injustice anywhere is a threat to justice everywhere.,Antithesis,Antithesis
Love and hate are but different sides of the same coin.,Antithesis,Antithesis
Every person's joy is another's sorrow.,Antithesis,Antithesis
"The sun rose in the east, and set in the west.",Antithesis,Antithesis
"Man proposes, God disposes."" - Thomas Carlyle",Antithesis,Antithesis
"War may sometimes be a necessary evil. But no matter how necessary, it is always an evil, never a good."" - Jimmy Carter",Antithesis,Antithesis
"We must learn to live together as equals or die together as fools."" - Thurgood Marshall",Antithesis,Antithesis
The clear waters of the lake stood in stark contrast to the murky depths of the pond.,Antithesis,Antithesis
Old friends become bitter enemies overnight.,Antithesis,Antithesis
"Love is an irresistible feeling, hate is an unforgettable emotion.",Antithesis,Antithesis
"In the face of adversity, some will rise while others will fall.",Antithesis,Antithesis
"We must all learn to live together as brothers or we will all perish together as fools."" -Martin Luther King Jr.",Antithesis,Antithesis
Dreams can inspire and reality can challenge.,Antithesis,Antithesis
"I can resist everything except temptation."" -Oscar Wilde",Antithesis,Antithesis
Freedom for one man may result in oppression for another.,Antithesis,Antithesis
The darkness of night can be broken by the light of day.,Antithesis,Antithesis
"Ask not what your country can do for you, ask what you can do for your country."" -John F. Kennedy",Antithesis,Antithesis
"The more things change, the more they stay the same.",Antithesis,Antithesis
"We must all learn to live together as brothers, or we will all perish together as fools."" - Martin Luther King Jr.",Antithesis,Antithesis
"It was the moment of truth, or it was the moment that she would have to live a lie."" - Jodi Picoult, Change of Heart",Antithesis,Antithesis
"Fair is foul, and foul is fair."" - William Shakespeare, Macbeth",Antithesis,Antithesis
"It was the best of times, it was the worst of times",Antithesis,Antithesis
"Love is an ideal thing, marriage a real thing",Antithesis,Antithesis
"To err is human, to forgive divine",Antithesis,Antithesis
"Too black for heaven, and yet too white for hell",Antithesis,Antithesis
"She was wicked, yet virtuous",Antithesis,Antithesis
The pen is mightier than the sword,Antithesis,Antithesis
You can either be a leader or a follower,Antithesis,Antithesis
"Heroes get remembered, but legends never die",Antithesis,Antithesis
"He was rich in money, but poor in spirit",Antithesis,Antithesis
"Success is not final, failure is not fatal.",Antithesis,Antithesis
"You are easy on the eyes, but hard on the heart.",Antithesis,Antithesis
Wisdom is knowing what to do; virtue is doing it.,Antithesis,Antithesis
You can’t have a rainbow without a little rain.,Antithesis,Antithesis
"Honor is a mere scutcheon, and so ends my catechism.",Antithesis,Antithesis
Hell is empty and all the devils are here.,Antithesis,Antithesis
"It was the age of wisdom, it was the age of foolishness.",Antithesis,Antithesis
He promised wealth and delivered poverty.,Antithesis,Antithesis
"It is not the strongest of the species that survive, nor the most intelligent, but the one most responsive to change.",Antithesis,Antithesis
"That's one small step for man, one giant leap for mankind.",Antithesis,Antithesis
"Hatred stirs up conflict, but love covers over all wrongs.",Antithesis,Antithesis
We must all learn to live together as equals or die together as fools.,Antithesis,Antithesis
"A small step for man, a giant leap for mankind."" - Neil Armstrong",Antithesis,Antithesis
"Patience is bitter, but its fruit is sweet."" - Jean-Jacques Rousseau",Antithesis,Antithesis
"The pen is mightier than the sword, but actions speak louder than words.",Antithesis,Antithesis
"Life is too short to waste, but it's the longest thing you'll ever experience.",Antithesis,Antithesis
"Success comes from hard work, but failure comes from giving up.",Antithesis,Antithesis
It was a dark and stormy night; the wind howled while the rain poured.,Antithesis,Antithesis
"Art is long, and time is fleeting.",Antithesis,Antithesis
Forgiveness is the fragrance the violet sheds on the heel that has crushed it.,Antithesis,Antithesis
Success is not the absence of failure; it's the persistence through failure.,Antithesis,Antithesis
"Give every man thy ear, but few thy voice."" - William Shakespeare",Antithesis,Antithesis
"If we don't end war, war will end us."" - H.G. Wells",Antithesis,Antithesis
Success can be as disastrous as failure.,Antithesis,Antithesis
"The sun rose in the east, but set in the west.",Antithesis,Antithesis
"In the midst of chaos, there is also opportunity.",Antithesis,Antithesis
"Money is the root of all evil, and yet it is indispensable for human life.",Antithesis,Antithesis
Their relationship was a rollercoaster of highs and lows.,Antithesis,Antithesis
She was both the fire that warmed my heart and the fire that burned me.,Antithesis,Antithesis
"Fame is a fickle friend, and success often comes with a price.",Antithesis,Antithesis
"To succeed, one must sometimes first learn to fail.",Antithesis,Antithesis
